Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
Hasan Ali,,,,,,,,,,0.0,0.0,0.0,,,68.0,66.0,3286.0,3179.0,102.0,,31.16,5.8,32.2,2.0,4.0,
Hashmatullah Shahidi,,96.0,94.0,16.0,2607.0,102.0,33.42,3845.0,67.8,1.0,22.0,6.0,,,,,,,0.0,,,,,,,
I Sharma,,,,,,,,,,0.0,0.0,0.0,,,80.0,78.0,3733.0,3563.0,115.0,,30.98,5.72,32.4,6.0,0.0,
IDR Bradshaw,,,,,,,,,,0.0,0.0,0.0,,,62.0,62.0,3172.0,2299.0,78.0,,29.47,4.34,40.6,0.0,0.0,
IJ Harvey,,,,,,,,,,0.0,0.0,0.0,,,73.0,70.0,3279.0,2577.0,85.0,,30.31,4.71,38.5,4.0,0.0,
IJL Trott,,68.0,65.0,10.0,2819.0,137.0,51.25,3658.0,77.06,4.0,22.0,5.0,,,,,,,0.0,,,,,,,
IK Pathan,,,,,,,,,,0.0,0.0,0.0,,,120.0,118.0,5855.0,5142.0,173.0,,29.72,5.26,33.8,5.0,2.0,
IR Bell,,161.0,157.0,14.0,5416.0,141.0,37.87,7019.0,77.16,4.0,35.0,6.0,,,,,,,0.0,,,,,,,
IR Bishop,,,,,,,,,,0.0,0.0,0.0,,,84.0,83.0,4332.0,3127.0,118.0,,26.5,4.33,36.7,7.0,2.0,
IT Botham,,116.0,106.0,15.0,2113.0,79.0,23.21,2671.0,79.1,0.0,9.0,6.0,,,116.0,115.0,6271.0,4139.0,145.0,,28.54,3.96,43.2,3.0,0.0,
IVA Richards,,187.0,167.0,24.0,6721.0,,47.0,7451.0,90.2,11.0,45.0,7.0,,,187.0,131.0,5644.0,4228.0,118.0,,35.83,4.49,47.8,1.0,2.0,
Iftikhar Anjum,,,,,,,,,,0.0,0.0,0.0,,,62.0,60.0,2960.0,2430.0,77.0,,31.55,4.92,38.4,2.0,1.0,
